Transaction ID,Reference,Counterparty name,Card holder name,Category,Amount,Currency,Local amount,Local currency,Payment date,Settlement date,Operation type,Payment method,Status
lumen-in-001,FA-oct,Atlas Digital oct 2025,,income,6240.00,EUR,6240.00,EUR,2025-11-18 10:02:00,2025-11-18 10:02:00,income,SEPA,completed
lumen-in-002,FA-nov,Atlas Digital nov 2025,,income,5460.00,EUR,5460.00,EUR,2025-12-16 11:10:00,2025-12-16 11:10:00,income,SEPA,completed
lumen-in-003,FA-dec,Atlas Digital dec 2025,,income,6240.00,EUR,6240.00,EUR,2026-01-15 09:40:00,2026-01-15 09:40:00,income,SEPA,completed
lumen-in-004,FA-jan,Atlas Digital jan 2026,,income,4680.00,EUR,4680.00,EUR,2026-02-17 14:22:00,2026-02-17 14:22:00,income,SEPA,completed
lumen-in-005,FA-feb,Atlas Digital feb 2026,,income,6240.00,EUR,6240.00,EUR,2026-03-16 16:05:00,2026-03-16 16:05:00,income,SEPA,completed
lumen-in-006,FA-mar,Atlas Digital mar 2026,,income,5460.00,EUR,5460.00,EUR,2026-04-14 10:18:00,2026-04-14 10:18:00,income,SEPA,completed
lumen-in-007,FA-apr,Atlas Digital apr 2026,,income,6240.00,EUR,6240.00,EUR,2026-05-19 11:44:00,2026-05-19 11:44:00,income,SEPA,completed
lumen-in-008,FA-may,Atlas Digital may 2026,,income,4680.00,EUR,4680.00,EUR,2026-06-16 09:12:00,2026-06-16 09:12:00,income,SEPA,completed
lumen-in-009,FA-jun,Atlas Digital jun 2026,,income,6240.00,EUR,6240.00,EUR,2026-07-15 15:30:00,2026-07-15 15:30:00,income,SEPA,completed
lumen-in-010,FA-hume,Studio Hume maquettes,,income,6360.00,EUR,6360.00,EUR,2026-08-28 13:05:00,2026-08-28 13:05:00,income,SEPA,completed
lumen-qonto-001,QONTO,Qonto oct 2025,,fees,-12.50,EUR,-12.50,EUR,2025-10-03 08:00:12,2025-10-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-002,QONTO,Qonto nov 2025,,fees,-12.50,EUR,-12.50,EUR,2025-11-03 08:00:12,2025-11-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-003,QONTO,Qonto dec 2025,,fees,-12.50,EUR,-12.50,EUR,2025-12-03 08:00:12,2025-12-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-004,QONTO,Qonto jan 2026,,fees,-12.50,EUR,-12.50,EUR,2026-01-03 08:00:12,2026-01-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-005,QONTO,Qonto feb 2026,,fees,-12.50,EUR,-12.50,EUR,2026-02-03 08:00:12,2026-02-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-006,QONTO,Qonto mar 2026,,fees,-12.50,EUR,-12.50,EUR,2026-03-03 08:00:12,2026-03-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-007,QONTO,Qonto apr 2026,,fees,-12.50,EUR,-12.50,EUR,2026-04-03 08:00:12,2026-04-03 08:00:12,direct_debit,SEPA,completed
lumen-qonto-008,QONTO,Qonto may 2026,,fees,-12.50,EUR,-12.50,EUR,2026-05-03 08:00:12,2026-05-03 08:00:12,direct_debit,SEPA,completed
